Node Number,Height,Location,Area,Mass Flow,Pressure,Velocity,Velocity.Curl,Velocity.Helicity,Wall Shear,X,Y,Z
77,Low,IN,9.02798604e-07,7.00510631e-04,1.60556592e+04,3.99259776e-01,4.92234077e+01,1.30616560e+01,null,5.85126784e-03,-1.01723982e-20,3.97369219e-03
78,Low,IN,1.33966876e-06,7.11248140e-04,1.60566182e+04,3.97985458e-01,4.37283859e+01,7.68123722e+00,null,5.94938267e-03,3.65946316e-18,2.65415176e-03
79,Low,IN,1.30485319e-06,6.97304204e-04,1.60726855e+04,3.97954315e-01,1.18416214e+02,9.49807167e+00,null,6.59529818e-03,5.41195282e-18,2.87682703e-03
80,Low,IN,1.56554108e-06,4.34205576e-04,1.60333281e+04,3.96099597e-01,1.60514160e+02,8.67461586e+00,null,2.86940392e-03,-3.91811142e-21,6.40658988e-03
81,Low,IN,1.61723005e-06,4.23969264e-04,1.60282139e+04,3.96140367e-01,2.79095917e+01,1.10114889e+01,null,2.59485282e-03,-8.41370314e-21,5.85630583e-03
82,Low,IN,1.24928272e-06,4.25501377e-04,1.60410225e+04,3.98100138e-01,4.30970955e+01,1.41876650e+01,null,4.83438047e-03,-9.85039228e-21,4.73546702e-03
83,Low,IN,7.71600071e-07,1.94023742e-04,1.60345918e+04,0.00000000e+00,2.97610535e+02,0.00000000e+00,4.99076891e+00,3.07653658e-03,0.00000000e+00,6.89668534e-03
84,Low,IN,8.05842774e-07,1.29610708e-04,1.60479619e+04,0.00000000e+00,2.93138489e+02,0.00000000e+00,5.50300550e+00,-2.90546147e-03,0.00000000e+00,6.94220932e-03
85,Low,IN,6.28130863e-07,1.78802293e-04,1.60596367e+04,0.00000000e+00,2.62144348e+02,0.00000000e+00,4.99021626e+00,-5.65281929e-03,0.00000000e+00,5.60308667e-03
86,Low,IN,1.63327149e-06,3.07626586e-04,1.60432207e+04,3.95889968e-01,1.45515228e+02,6.22900820e+00,null,-2.71171844e-03,-1.36261365e-21,6.43350882e-03
87,Low,IN,1.68215968e-06,3.55032302e-04,1.60338271e+04,3.95934194e-01,2.60667248e+01,7.87646675e+00,null,-2.45706947e-03,-2.90293200e-21,5.86087117e-03
88,Low,IN,7.93624622e-07,1.33392619e-04,1.60376914e+04,0.00000000e+00,2.97707794e+02,0.00000000e+00,5.37155247e+00,1.10272500e-04,0.00000000e+00,7.37872394e-03
89,Low,IN,1.60582044e-06,3.63522471e-04,1.60345059e+04,3.95801663e-01,1.53654633e+02,7.53096199e+00,null,1.01973477e-04,-2.87742915e-21,6.83585275e-03
90,Low,IN,1.65569247e-06,4.65627032e-04,1.60270498e+04,3.95836443e-01,2.87260113e+01,1.04171820e+01,null,8.50210345e-05,-6.16417174e-21,6.21446455e-03
91,Low,IN,8.25985694e-07,2.41105081e-04,1.60598633e+04,0.00000000e+00,2.92488098e+02,0.00000000e+00,5.66010046e+00,6.94337301e-03,1.38777878e-17,-8.73132885e-05
